COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,Eastern Mediterranean Region,REPORTING,06-06-2023,19712836,16770724,50.639,43.081,16064707,41.267,,22-02-2021,11,1893518,4.864
Albania,ALB,European Region,REPORTING,14-05-2023,3080679,1348396,107,47.379,1277987,44.905,,13-01-2021,6,399190,14.027
Algeria,DZA,African Region,REPORTING,04-09-2022,15267442,7840131,34.817,17.879,6481186,14.78,,30-01-2021,4,575651,1.313
American Samoa,ASM,Western Pacific Region,REPORTING,29-03-2023,114706,46206,207.812,83.711,42479,76.959,,21-12-2020,3,24160,43.77
Andorra,AND,European Region,REPORTING,09-04-2023,157038,57910,203.2,76.02,53496,70.226,,20-01-2021,4,43067,56.535
Angola,AGO,African Region,REPORTING,21-05-2023,25552936,15745756,77.748,47.909,8821410,26.84,,10-03-2021,1,2026768,6.167
Anguilla,AIA,Region of the Americans,REPORTING,02-06-2023,24611,10854,164.051,72.35,10380,69.191,,05-02-2021,2,3046,20.304
Antigua and Barbuda,ATG,Region of the Americans,REPORTING,02-06-2023,136512,64290,139.399,65.65,62384,63.703,,01-03-2021,6,9838,10.046
Argentina,ARG,Region of the Americans,REPORTING,07-10-2022,109652736,41324100,242.617,91.434,37840119,83.725,,29-12-2020,7,30810184,68.17
Armenia,ARM,European Region,REPORTING,14-05-2023,2156999,1122040,72.8,37.865,996169,33.618,,27-01-2021,10,44890,1.515
Aruba,ABW,Region of the Americans,REPORTING,02-06-2023,216974,90449,203.224,84.717,84297,78.955,,17-02-2021,2,35659,33.399
Australia,AUS,Western Pacific Region,REPORTING,24-03-2023,65492360,22231907,256.834,87.184,21648824,84.898,,21-02-2021,5,14368201,56.346
Austria,AUT,European Region,REPORTING,14-05-2023,20401515,6899733,229.2,77.625,6682197,75.072,,30-12-2020,10,5405548,60.729
Azerbaijan,AZE,European Region,REPORTING,14-05-2023,13822539,5434010,136.3,53.594,4886266,48.192,,20-01-2021,5,3502265,34.542
Bahamas,BHS,Region of the Americans,REPORTING,02-06-2023,366359,174810,93.163,44.453,166972,42.46,,14-03-2021,4,33717,8.574
